2023-02-02 15:50:47,443 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 15:50:47,540 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 15:50:47,541 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2023-02-02 15:51:02,002 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 15:51:02,003 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 15:51:02,004 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:51:06,896 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
2023-02-02 15:58:34,862 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:48:6A:84:3C
2023-02-02 15:59:38,330 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 15:59:38,330 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 15:59:38,330 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 15:59:45,151 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
2023-02-02 16:01:03,828 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 16:01:03,829 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 16:01:03,829 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-02 16:01:03,830 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-02 16:01:03,831 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 16:01:07,671 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 16:01:07,672 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 16:01:07,673 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 16:01:12,835 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 16:01:12,835 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 16:01:12,838 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-02 16:01:12,839 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-02 16:01:12,840 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 16:01:15,558 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
